n_du_site;latitude_du_site;longitude_du_site;altitude_du_site;altitude_du_site_ign;nom_du_site;commune;departement;region;pays;numero_de_maille_drias;numero_de_maille_safran
5568;48.4;-4.4833;75;68;brest;Brest;Finistère;Bretagne;France;14018;1863
5569;44.9;6.65;1571;1320;briançon;Briançon;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;6974;7242
5570;49.1833;-0.35;4;4;caen;Caen;Calvados;Normandie;France;15201;1048
5571;44.6833;-0.45;31;28;castres;Castres-Gironde;Gironde;Nouvelle-Aquitaine;France;6332;7503
5572;46.7833;4.85;174;181;chalon sur saone;Chalon-sur-Saône;Saône-et-Loire;Bourgogne-Franche-Comté;France;10530;5007
5573;45.5667;5.9333;284;277;chambery;Chambéry;Savoie;Auvergne-Rhône-Alpes;France;8254;6504
5574;45.7833;3.0833;363;369;clermont-ferrand;Clermont-Ferrand;Puy-de-Dôme;Auvergne-Rhône-Alpes;France;8512;6316
5575;47.3167;5.0167;235;239;dijon;Dijon;Côte-d'Or;Bourgogne-Franche-Comté;France;11533;4196
5576;45.1667;5.7167;219;221;grenoble;Grenoble;Isère;Auvergne-Rhône-Alpes;France;7394;6995
5577;47.2667;-1.3833;4;5;la rochelle;Saint-Julien-de-Concelles;Loire-Atlantique;Pays de la Loire;France;11472;4135
5578;46.6667;-1.4333;52;60;laroche sur yon;La Roche-sur-Yon;Vendée;Pays de la Loire;France;10327;5060
5579;48.0;0.2;49;59;le mans;Le Mans;Sarthe;Pays de la Loire;France;12918;2911
5580;43.3;5.4;53;38;marseille;Marseille;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;France;3674;9207
5581;43.6;3.8833;18;33;montpellier;Montpellier;Hérault;Occitanie;France;4230;8857
5582;48.6833;6.2;199;198;nancy;Nancy;Meurthe-et-Moselle;Grand Est;France;14403;1715
5583;46.9833;3.1667;17;172;nevers;Nevers;Nièvre;Bourgogne-Franche-Comté;France;10800;4760
5584;43.7;7.25;0;31;nice;Nice;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;France;NA;NA
5585;47.9167;1.9;114;116;orléans;Orléans;Loiret;Centre-Val de Loire;France;12647;3187
5586;43.3;-0.3667;198;209;pau;Pau;Pyrénées-Atlantiques;Nouvelle-Aquitaine;France;3615;9157
5587;45.1833;0.7167;91;95;périgeux;Périgueux;Dordogne;Nouvelle-Aquitaine;France;7345;6946
5588;45.3667;4.8167;213;219;roussillon;Roussillon;Isère;Auvergne-Rhône-Alpes;France;7671;6821
5589;48.45;-2.0333;75;41;dinan;Lanvallay;Côtes-d'Armor;Bretagne;France;13898;2009
5590;50.6333;3.0667;24;20;lille;Lille;Nord;Hauts-de-France;France;18092;94
5591;43.8333;4.35;36;55;nîmes;Nîmes;Gard;Occitanie;France;4664;8594
5592;42.6833;2.8833;47;38;perpignan;Perpignan;Pyrénées-Orientales;Occitanie;France;2361;9673
5593;46.5833;0.3333;88;92;poitiers;Poitiers;Vienne;Nouvelle-Aquitaine;France;10058;5295
5594;48.0667;-2.9833;57;110;pontivy;Pontivy;Morbihan;Bretagne;France;13174;2623
5595;49.25;4.0333;98;82;reims;Reims;Marne;Grand Est;France;15384;1001
5596;48.0833;-1.6833;29;32;rennes;Rennes;Ille-et-Vilaine;Bretagne;France;13186;2635
5597;45.25;4.7833;251;178;saint etienne;Saint-Désirat;Ardèche;Auvergne-Rhône-Alpes;France;7528;6904
5598;43.1167;5.9533;0;25;toulon;Toulon;Var;Provence-Alpes-Côte d'Azur;France;3393;9344
5599;43.6;1.4333;143;135;toulouse;Toulouse;Haute-Garonne;Occitanie;France;4062;8921
5600;47.3833;0.6833;49;47;tours;Tours;Indre-et-Loire;Centre-Val de Loire;France;11635;4038
5601;48.3;4.0833;104;107;troyes;Troyes;Aube;Grand Est;France;13526;2432
5602;50.75;2.25;9;20;saint omer;Saint-Omer;Pas-de-Calais;Hauts-de-France;France;18371;56
5603;48.5167;-2.7833;80;110;saint brieuc;Saint-Brieuc;Côtes-d'Armor;Bretagne;France;14034;1879
5606;44.06;4.32;200;193;aigaliers;Aigaliers;Gard;Occitanie;France;5092;8319
5607;43.57;4.18;1;1;aiguesmortes;Aigues-Mortes;Gard;Occitanie;France;4090;8949
5608;46.82;-0.13;108;121;airvault;Airvault;Deux-Sèvres;Nouvelle-Aquitaine;France;10626;4845
5609;47.05;4.85;238;239;aloxe-corton;Savigny-lès-Beaune;Côte-d'Or;Bourgogne-Franche-Comté;France;11102;4543
5610;43.96;3.43;613;739;alzon;Campestre-et-Luc;Gard;Occitanie;France;4797;8493
5611;48.12;7.28;235;283;ammerschwihr;Ammerschwihr;Haut-Rhin;Grand Est;France;13412;2588
5612;45.48;4.8;153;144;ampuis;Tupin-et-Semons;Rhône;Auvergne-Rhône-Alpes;France;7957;6655
5613;44.05;3.98;143;197;anduze;Anduze;Gard;Occitanie;France;5089;8316
